budget,revenue,vote_average,vote_count,genres,release_date,popularity,runtime,year
225000000.0,419651413.0,6.3,1630,"['Adventure', 'Family', 'Fantasy']",2008-05-15,53.978602,150.0,2008
225000000.0,624026776.0,6.2,4160,"['Action', 'Comedy', 'Science Fiction']",2012-05-23,52.035179,106.0,2012
200000000.0,310669540.0,6.2,1398,"['Action', 'Adventure']",2010-05-12,37.668301,140.0,2010
180000000.0,372234864.0,5.8,1303,"['Adventure', 'Fantasy']",2007-12-04,42.990906,113.0,2007
209000000.0,303025485.0,5.5,2114,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",2012-04-11,64.928382,131.0,2012
210000000.0,459359555.0,6.3,3525,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",2006-05-24,3.857526,104.0,2006
200000000.0,743559607.0,7.0,3528,"['Animation', 'Family']",2013-06-20,89.186492,104.0,2013
200000000.0,491868548.0,5.7,3530,"['Fantasy', 'Adventure', 'Family']",2013-03-07,46.985445,130.0,2013
200000000.0,705717432.0,6.5,4179,"['Action', 'Adventure', 'Fantasy']",2014-04-16,89.270217,142.0,2014
170000000.0,400062763.0,6.3,2841,"['Adventure', 'Action', 'Science Fiction']",2010-12-10,73.79505,125.0,2010
200000000.0,559852396.0,5.8,2033,"['Animation', 'Family', 'Adventure', 'Comedy']",2011-06-11,49.98659,106.0,2011
200000000.0,219851172.0,5.1,2487,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2011-06-16,51.872839,114.0,2011
200000000.0,371353001.0,5.9,2463,"['Action', 'Science Fiction', 'Thriller']",2009-05-20,71.862892,115.0,2009
190000000.0,467365246.0,7.4,4418,"['Action', 'Adventure', 'Science Fiction']",2013-05-05,78.291018,132.0,2013
195000000.0,197687603.0,5.5,2598,"['Action', 'Family', 'Fantasy']",2013-02-27,43.349855,114.0,2013
105000000.0,351040419.0,7.3,3769,"['Drama', 'Romance']",2013-05-10,61.196071,143.0,2013
150000000.0,335154643.0,6.2,2317,"['Adventure', 'Fantasy', 'Action', 'Romance']",2010-05-19,62.169881,116.0,2010
180000000.0,407602906.0,6.7,4794,"['Action', 'Science Fiction', 'Adventure']",2013-07-11,56.523205,131.0,2013
175000000.0,331926147.0,6.6,1736,"['Adventure', 'Animation', 'Family']",2015-11-14,51.692953,93.0,2015
185000000.0,343471816.0,6.6,2568,"['Action', 'Adventure', 'Science Fiction']",2016-07-07,65.352913,122.0,2016
140000000.0,258022233.0,6.1,783,"['Action', 'Comedy', 'Crime', 'Thriller']",2007-08-08,22.57178,91.0,2007
200000000.0,769653595.0,5.6,4903,"['Action', 'Adventure', 'Science Fiction']",2009-10-10,45.274225,158.0,2009
200000000.0,325233863.0,6.6,1095,"['Animation', 'Drama']",2009-11-04,39.744242,96.0,2009
176000003.0,183987723.0,5.2,2768,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",2015-02-04,85.36908,124.0,2015
180000000.0,356743061.0,5.5,2430,"['Action', 'Adventure']",2016-06-29,42.741719,109.0,2016
180000000.0,748806957.0,6.7,2629,"['Adventure', 'Family', 'Fantasy']",2005-12-07,67.391328,143.0,2005
175000000.0,381509870.0,6.0,1423,"['Animation', 'Family', 'Adventure', 'Science Fiction']",2009-03-19,36.167578,94.0,2009
170000000.0,185770160.0,7.0,2141,"['Adventure', 'Drama', 'Family']",2011-11-22,32.319043,126.0,2011
170000000.0,222104681.0,5.1,1020,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",1999-06-29,40.748915,106.0,1999
145000000.0,401128639.0,5.2,1387,"['Adventure', 'Action', 'Fantasy']",2008-07-01,60.034162,112.0,2008
175000000.0,173000000.0,5.3,1151,"['Fantasy', 'Comedy', 'Family']",2007-06-09,27.082182,96.0,2007
178000000.0,370541256.0,7.6,4858,"['Action', 'Science Fiction']",2014-05-27,79.456485,113.0,2014
175000000.0,264218220.0,5.9,992,"['Adventure', 'Action']",1995-07-28,44.640292,135.0,1995
175000000.0,302469017.0,5.6,1962,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2009-08-04,32.852443,118.0,2009
170000000.0,396600000.0,5.8,3118,"['Adventure', 'Fantasy', 'Drama']",2012-05-30,77.178973,127.0,2012
27000000.0,52313200.5,4.8,34,"['Action', 'Adventure', 'Science Fiction', 'Romance']",2015-02-13,2.418535,109.0,2015
175000000.0,150962475.0,5.9,1326,"['Drama', 'Action', 'Adventure', 'Fantasy']",2013-12-06,41.796339,119.0,2013
165000000.0,752600867.0,6.0,1959,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",2010-05-16,44.041186,93.0,2010
165000000.0,471222889.0,7.1,4570,"['Family', 'Animation', 'Comedy', 'Adventure']",2012-11-01,62.341073,108.0,2012
165000000.0,305875730.0,6.4,1474,"['Adventure', 'Animation', 'Family', 'Fantasy']",2004-11-10,47.323228,100.0,2004
165000000.0,389681935.0,4.9,2491,"['Action', 'Adventure', 'Science Fiction']",2016-06-22,48.775723,120.0,2016
165000000.0,494878759.0,7.5,4227,"['Fantasy', 'Adventure', 'Animation', 'Family']",2010-03-05,67.263269,98.0,2010
200000000.0,435000000.0,5.9,2143,"['Action', 'Thriller', 'Science Fiction']",2003-07-02,69.405188,104.0,2003
15000000.0,77000000.0,6.5,143,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",2016-07-29,9.476999,120.0,2016
38000000.0,207283925.0,6.6,3428,"['Action', 'Crime', 'Thriller']",2001-06-22,6.909942,106.0,2001
150000000.0,333932083.0,7.3,3292,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",2008-11-24,60.269279,166.0,2008
150000000.0,215283742.0,5.8,1470,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",2010-07-13,35.580815,109.0,2010
160000000.0,181674817.0,5.5,583,"['Adventure', 'Action', 'Drama', 'Thriller']",2006-05-12,21.133748,99.0,2006
170000000.0,299370084.0,6.5,1725,['Fantasy'],2016-05-25,56.268916,113.0,2016
160000000.0,433677183.0,6.3,2268,"['Action', 'Adventure', 'Fantasy']",2016-05-25,63.148529,123.0,2016
155000000.0,415686217.0,6.2,1514,"['Adventure', 'Family', 'Fantasy']",2010-08-13,49.661984,113.0,2010
150000000.0,709709780.0,6.6,4040,"['Adventure', 'Science Fiction', 'Action']",2007-06-27,25.468493,144.0,2007
150000000.0,624029371.0,6.2,2961,"['Fantasy', 'Action']",2008-07-01,56.758411,104.0,2008
150000000.0,585349010.0,6.9,4853,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",2007-12-14,70.867401,101.0,2007
150000000.0,474968763.0,6.7,3624,"['Adventure', 'Comedy', 'Family', 'Fantasy']",2005-07-13,53.905592,115.0,2005
150000000.0,623722818.0,7.5,4369,"['Animation', 'Comedy', 'Family', 'Fantasy']",2007-06-22,65.677399,104.0,2007
150000000.0,603900354.0,6.2,1810,"['Family', 'Animation']",2008-10-30,44.141021,89.0,2008
150000000.0,413106170.0,5.9,1971,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",2009-05-20,81.781591,105.0,2009
150000000.0,373062864.0,6.2,4021,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2009-04-28,5.954334,107.0,2009
150000000.0,424988211.0,6.4,3096,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2003-11-05,73.313918,129.0,2003
150000000.0,738599701.0,6.7,3443,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2003-05-15,70.78591,138.0,2003
150000000.0,356613439.0,6.5,2129,[],2009-05-13,67.447636,138.0,2009
150000000.0,309979994.0,6.3,1750,"['Animation', 'Family', 'Adventure', 'Comedy']",2008-11-21,41.845878,98.0,2008
150000000.0,292817841.0,5.1,510,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",2009-07-21,26.710398,88.0,2009
150000000.0,301000000.0,5.5,1431,['Adventure'],2012-03-27,44.927635,99.0,2012
150000000.0,245527149.0,5.7,2320,"['Comedy', 'Fantasy']",2012-05-08,50.306728,113.0,2012
150000000.0,52313200.5,5.5,549,"['Drama', 'Horror', 'Thriller']",2010-02-11,21.214571,102.0,2010
150000000.0,287594577.0,5.7,1171,"['Family', 'Animation', 'Adventure', 'Comedy']",2007-10-28,29.332905,91.0,2007
150000000.0,665692281.0,6.7,1880,"['Animation', 'Family']",2011-05-25,51.247321,91.0,2011
150000000.0,318502923.0,4.7,1151,"['Action', 'Adventure', 'Family', 'Fantasy']",2010-06-30,33.769336,103.0,2010
150000000.0,397850012.0,6.5,2028,[],2006-05-03,63.079003,126.0,2006
150000000.0,205366737.0,6.4,1891,"['Action', 'Drama', 'Thriller']",2013-06-27,39.004588,131.0,2013
150000000.0,38992758.0,5.5,199,"['Adventure', 'Animation', 'Family']",2011-03-09,12.362599,88.0,2011
149000000.0,64459316.0,6.0,874,"['Adventure', 'Animation', 'Comedy', 'Family']",2006-10-22,22.550135,85.0,2006
145000000.0,272912430.0,6.7,843,"['Animation', 'Adventure', 'Family']",2014-02-07,38.73494,92.0,2014
175000000.0,497409852.0,6.9,2759,"['Adventure', 'Drama', 'War']",2004-05-13,66.803149,163.0,2004
145000000.0,746921274.0,6.4,1808,"['Animation', 'Family']",2012-06-06,44.989192,93.0,2012
140000000.0,431971116.0,5.8,1092,"['Adventure', 'Action', 'Thriller']",2002-11-17,54.159392,133.0,2002
144000000.0,229147509.0,5.3,2142,"['Action', 'Fantasy', 'Comedy']",2016-07-14,66.21806,116.0,2016
140000000.0,553799566.0,6.4,2482,[],1998-07-01,58.485967,151.0,1998
70000000.0,195735876.0,5.5,841,"['Adventure', 'Action', 'Animation']",2007-11-05,35.601665,104.0,2007
145000000.0,521170825.0,6.7,1603,[],2016-01-23,56.747978,95.0,2016
145000000.0,694713380.0,6.8,3972,"['Action', 'Thriller', 'Adventure']",2011-12-07,77.77477,133.0,2011
145000000.0,306941670.0,7.1,1922,"['Fantasy', 'Animation', 'Family']",2012-11-21,61.788035,97.0,2012
100000000.0,202026112.0,5.9,627,['Comedy'],2005-12-21,25.159168,90.0,2005
140000000.0,456758981.0,7.3,1895,"['Drama', 'Action', 'War', 'History']",2003-12-05,52.341226,104.0,2003
150000000.0,385680446.0,7.4,4518,"['Science Fiction', 'Action', 'Adventure']",2009-05-06,73.616808,127.0,2009
140000000.0,150680864.0,5.3,1277,['Fantasy'],2016-02-25,56.257249,127.0,2016
130000000.0,185258983.0,7.0,2811,"['Action', 'Mystery', 'Science Fiction']",2009-03-05,64.798873,163.0,2009
140000000.0,285444603.0,6.3,767,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",1998-07-10,24.855701,127.0,1998
137000000.0,245360480.0,5.3,1533,"['Drama', 'Action', 'Science Fiction']",2003-06-19,34.981698,138.0,2003
130000000.0,371876278.0,5.4,3025,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",2013-03-26,59.325589,110.0,2013
130000000.0,119269486.0,5.7,434,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",2005-04-06,21.605568,124.0,2005
137000000.0,85131830.0,5.9,433,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",2001-07-02,26.074908,106.0,2001
135000000.0,361832400.0,6.0,862,"['Adventure', 'Action', 'Thriller']",1999-11-08,39.604363,128.0,1999
150000000.0,212011111.0,6.9,790,['Adventure'],2003-11-14,36.973031,138.0,2003
130000000.0,150406466.0,5.8,373,"['Animation', 'Comedy', 'Family']",2011-11-17,17.7735,100.0,2011
150000000.0,163712074.0,6.1,3021,"['Science Fiction', 'Action', 'Adventure']",2008-06-12,62.898336,114.0,2008
140000000.0,183345589.0,6.0,1000,"['Adventure', 'Family', 'Fantasy']",2016-06-01,44.19092,120.0,2016
135000000.0,282570682.0,6.1,1074,"['Animation', 'Family']",2013-07-11,44.765377,96.0,2013
135000000.0,245724603.0,6.6,2051,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",2011-03-02,29.91353,107.0,2011
132000000.0,373552094.0,6.5,1346,"['Family', 'Animation', 'Adventure', 'Comedy']",2014-11-22,84.366984,92.0,2014
70000000.0,442824138.0,7.3,2888,"['Action', 'Drama', 'Mystery', 'Thriller']",2007-08-03,45.381501,115.0,2007
130000000.0,631744560.0,6.9,3145,"['Adventure', 'Animation', 'Family', 'Comedy']",2008-06-04,84.689648,90.0,2008
135000000.0,368871007.0,6.8,1519,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",2015-03-18,63.473086,94.0,2015
132000000.0,591739379.0,6.2,2322,"['Adventure', 'Thriller', 'Science Fiction']",2005-06-28,48.572726,116.0,2005
130000000.0,273339556.0,6.3,1564,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",2003-07-18,38.068736,147.0,2003
130000000.0,554987477.0,6.4,451,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",2011-10-28,20.678787,90.0,2011
110000000.0,293329073.0,6.2,2093,"['Action', 'Mystery', 'Thriller']",2010-07-21,48.829437,100.0,2010
125000000.0,362637473.0,5.6,2350,"['Drama', 'Adventure']",2014-03-20,46.115758,139.0,2014
130000000.0,371940071.0,6.7,2061,"['Adventure', 'Animation', 'Mystery']",2011-10-25,89.938296,107.0,2011
130000000.0,49554002.0,6.3,694,['Drama'],2008-11-18,28.840997,165.0,2008
130000000.0,243843127.0,5.0,2532,"['Science Fiction', 'Action', 'Adventure']",2013-05-30,42.840582,100.0,2013
127500000.0,354248063.0,6.2,542,"['Animation', 'Family']",2000-05-19,26.548594,82.0,2000
130000000.0,321887208.0,6.7,1918,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",2010-10-28,68.757242,95.0,2010
130000000.0,61648500.0,5.4,1260,"['Fantasy', 'Action', 'Comedy', 'Crime']",2013-07-18,39.448066,96.0,2013
125000000.0,767820459.0,6.5,2704,"['Thriller', 'Mystery']",2006-05-17,45.313197,149.0,2006
103000000.0,500188435.0,6.3,978,"['Animation', 'Adventure', 'Comedy', 'Family']",2014-03-19,42.40024,102.0,2014
110000000.0,407711549.0,6.8,3506,[],2003-04-24,2.871739,133.0,2003
125000000.0,626137675.0,7.1,2438,"['Action', 'Thriller', 'Crime']",2011-04-20,7.255718,130.0,2011
125000000.0,334615000.0,7.0,3886,"['Adventure', 'Action', 'Crime', 'Mystery']",2011-11-22,81.499621,129.0,2011
125000000.0,232713139.0,5.6,2233,"['Adventure', 'Fantasy', 'Action']",2010-04-01,47.686442,106.0,2010
65000000.0,261317921.0,7.1,1710,"['Action', 'Adventure', 'Science Fiction']",1990-06-01,43.129703,113.0,1990
160000000.0,61698899.0,6.4,510,"['Adventure', 'Fantasy', 'Action']",1999-08-27,27.220157,102.0,1999
130000000.0,276572938.0,6.0,2651,"['Action', 'Thriller']",2012-08-08,90.33681,120.0,2012
125000000.0,238207122.0,4.2,1418,"['Action', 'Crime', 'Fantasy']",1997-06-20,50.073575,125.0,1997
123000000.0,345141403.0,6.2,1386,[],2000-11-17,45.419668,104.0,2000
125000000.0,544272402.0,6.2,2392,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",2004-05-26,41.380094,124.0,2004
125000000.0,546388105.0,5.9,1928,"['Adventure', 'Action', 'Thriller']",2000-05-24,54.931334,123.0,2000
120000000.0,325756637.0,6.2,597,['Drama'],2000-03-15,25.752118,130.0,2000
130000000.0,289047763.0,5.4,2589,[],2007-06-13,60.810723,92.0,2007
110000000.0,228738393.0,5.2,1712,"['Thriller', 'Action', 'Fantasy', 'Horror']",2007-02-16,46.834704,114.0,2007
120000000.0,415484914.0,5.9,2341,"['Action', 'Thriller']",2016-07-27,62.641286,104.0,2016
120000000.0,259175788.0,5.2,914,"['Action', 'Adventure', 'Comedy']",2003-06-27,33.616115,106.0,2003
130000000.0,403170142.0,6.3,5080,"['Science Fiction', 'Adventure', 'Mystery']",2012-05-30,68.889395,124.0,2012
120000000.0,169956806.0,5.4,613,"['Family', 'Adventure', 'Animation', 'Comedy']",2002-07-19,27.990284,78.0,2002
115000000.0,286140700.0,6.4,3439,"['Science Fiction', 'Action', 'Drama', 'Thriller']",2013-08-07,67.33767,109.0,2013
105000000.0,115772733.0,6.3,1570,"['Action', 'Science Fiction']",2004-06-11,27.835436,119.0,2004
120000000.0,242688965.0,5.7,2342,"['Action', 'Science Fiction']",2014-01-30,66.757869,102.0,2014
120000000.0,48668907.0,4.9,223,"['Comedy', 'Drama', 'Romance']",2010-12-17,11.137655,121.0,2010
117000000.0,261930431.0,5.9,1547,"['Action', 'Comedy']",2010-06-15,44.906918,109.0,2010
120000000.0,286168572.0,6.4,4800,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",2013-04-10,67.698004,124.0,2013
120000000.0,649398328.0,6.4,3992,"['Adventure', 'Action', 'Science Fiction']",2002-05-15,43.987061,142.0,2002
120000000.0,415440673.0,6.3,4053,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",2013-07-23,15.953444,126.0,2013
135000000.0,585178928.0,6.8,2399,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",2013-03-20,64.183321,98.0,2013
97250400.0,132900000.0,5.0,471,"['Fantasy', 'Adventure', 'Comedy', 'Family']",2008-01-13,20.344364,116.0,2008
115000000.0,77628265.0,5.8,341,"['Drama', 'Action', 'History', 'War']",2002-06-14,18.714197,134.0,2002
115000000.0,164602163.0,6.0,1523,"['Action', 'Adventure', 'Drama']",2016-04-06,60.467984,114.0,2016
116000000.0,178127760.0,5.7,428,"['Action', 'Adventure', 'Thriller']",1997-02-07,16.90444,108.0,1997
135000000.0,245623848.0,5.8,963,"['Fantasy', 'Action', 'Adventure', 'Comedy']",2016-06-01,39.873791,112.0,2016
120000000.0,167977596.0,4.4,2278,"['Action', 'Adventure', 'Science Fiction']",2015-08-05,38.126095,104.0,2015
110000000.0,574480841.0,6.3,2862,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2006-10-20,48.780039,108.0,2006
110000000.0,333011068.0,6.0,925,"['Adventure', 'Action', 'Thriller']",1997-12-11,42.887121,119.0,1997
110000000.0,215294342.0,6.8,1099,"['Drama', 'History', 'War', 'Action']",2000-06-28,23.657284,165.0,2000
110000000.0,362744280.0,6.4,2124,"['Thriller', 'Crime']",2004-12-09,76.840712,125.0,2004
110000000.0,478207520.0,6.5,2965,"['Action', 'Comedy', 'Drama', 'Thriller']",2005-06-07,44.635452,120.0,2005
116000000.0,102000000.0,7.0,1489,['Drama'],2004-12-17,45.616098,170.0,2004
